1946/2/1,4
1946/3/1,5.8
1946/4/1,13.9
1946/5/1,16.4
1946/6/1,22.2
1946/7/1,25.6
1946/8/1,25.9
1946/9/1,22.5
1946/10/1,17
1946/11/1,12.6
1946/12/1,5.7
1947/1/1,3.8
1947/2/1,2.7
1947/3/1,6.7
1947/4/1,12.7
1947/5/1,16.3
1947/6/1,18.8
1947/7/1,24.9
1947/8/1,27
1947/9/1,22.6
1947/10/1,15.6
1947/11/1,10.5
1947/12/1,4.7
1948/1/1,4.5
1948/2/1,4.9
1948/3/1,6.3
1948/4/1,13.8
1948/5/1,17.4
1948/6/1,20.9
1948/7/1,25.5
1948/8/1,24.7
1948/9/1,23.3
1948/10/1,17.3
1948/11/1,11.9
1948/12/1,8.5
1949/1/1,5.9
1949/2/1,6.6
1949/3/1,6.5
1949/4/1,11.4
1949/5/1,17.6
1949/6/1,18.7
1949/7/1,24.4
1949/8/1,26
1949/9/1,22
1949/10/1,15.9
1949/11/1,10.2
1949/12/1,6.5
1950/1/1,5.4
1950/2/1,5.2
1950/3/1,7.9
1950/4/1,13.5
1950/5/1,18.8
1950/6/1,21.4
1950/7/1,25.8
1950/8/1,25.8
1950/9/1,23.4
1950/10/1,15.5
1950/11/1,11.3
1950/12/1,6.2
1951/1/1,3.6
1951/2/1,4.8
1951/3/1,8.8
1951/4/1,13.1
1951/5/1,17.8
1951/6/1,20.6
1951/7/1,23.8
1951/8/1,26.4
1951/9/1,20.7
1951/10/1,17.2
1951/11/1,11.4
1951/12/1,7.7
1952/1/1,4.8
1952/2/1,2.7
1952/3/1,7.5
1952/4/1,13
1952/5/1,17.4
1952/6/1,20.9
1952/7/1,23.8
1952/8/1,26.4
1952/9/1,22.6
1952/10/1,16.8
1952/11/1,11.9
1952/12/1,5.7
1953/1/1,3.8
1953/2/1,4.5
1953/3/1,9.3
1953/4/1,12.3
1953/5/1,17.3
1953/6/1,20.2
1953/7/1,23.9
1953/8/1,24.4
1953/9/1,21.9
1953/10/1,16.8
1953/11/1,10.7
1953/12/1,8
1954/1/1,4.8
1954/2/1,5.9
1954/3/1,8.3
1954/4/1,14.7
1954/5/1,17.2
1954/6/1,17.9
1954/7/1,21.9
1954/8/1,26.6
1954/9/1,24.1
1954/10/1,15.3
1954/11/1,11.7
1954/12/1,7.6
1955/1/1,4.5
1955/2/1,6.3
1955/3/1,8.5
1955/4/1,13.6
1955/5/1,17.7
1955/6/1,22
1955/7/1,26.8
1955/8/1,25.7
1955/9/1,21.9
1955/10/1,17.4
1955/11/1,11.1
1955/12/1,8.3
1956/1/1,4.7
1956/2/1,4.6
1956/3/1,8.6
1956/4/1,12.9
1956/5/1,17.1
1956/6/1,21.7
1956/7/1,23.8
1956/8/1,24.8
1956/9/1,22.4
1956/10/1,17.1
1956/11/1,11.7
1956/12/1,5.3
1957/1/1,6
1957/2/1,4.2
1957/3/1,6.8
1957/4/1,14.1
1957/5/1,16.6
1957/6/1,19.4
1957/7/1,23.9
1957/8/1,26.7
1957/9/1,20.4
1957/10/1,16.8
1957/11/1,12.7
1957/12/1,8.2
1958/1/1,5.3
1958/2/1,6.1
1958/3/1,8.2
1958/4/1,13.6
1958/5/1,17.4
1958/6/1,21.2
1958/7/1,24.3
1958/8/1,25.4
1958/9/1,22.8
1958/10/1,15.8
1958/11/1,11.1
1958/12/1,8.2
1959/1/1,4.1
1959/2/1,7.3
1959/3/1,8.7
1959/4/1,14.9
1959/5/1,17.8
1959/6/1,19.9
1959/7/1,25.3
1959/8/1,26.1
1959/9/1,23.6
1959/10/1,17.4
1959/11/1,12.3
1959/12/1,7.3
1960/1/1,5.4
1960/2/1,6.9
1960/3/1,9.4
1960/4/1,12.5
1960/5/1,17.5
1960/6/1,21.1
1960/7/1,25.2
1960/8/1,26
1960/9/1,23.5
1960/10/1,16.6
1960/11/1,12.4
1960/12/1,7.1
1961/1/1,4.1
1961/2/1,4.5
1961/3/1,8.2
1961/4/1,14.7
1961/5/1,19.2
1961/6/1,22.1
1961/7/1,26.8
1961/8/1,26.4
1961/9/1,24.9
1961/10/1,18
1961/11/1,12.8
1961/12/1,7.4
1962/1/1,4.8
1962/2/1,5.9
1962/3/1,8.4
1962/4/1,13.7
1962/5/1,17.7
1962/6/1,20.5
